Crime,Block,Month,Year,Location
Commercial Break and Enter,12100 95A AVE ,3,2013,Surrey
Commercial Break and Enter,13800 20TH AVE ,3,2013,Surrey
Commercial Break and Enter,12200 91A AVE ,3,2013,Surrey
Commercial Break and Enter,7100 177A ST ,3,2013,Surrey
Commercial Break and Enter,2900 156TH ST ,3,2013,Surrey
Commercial Break and Enter,2700 158TH ST ,3,2013,Surrey
Commercial Break and Enter,1900 148TH ST ,3,2013,Surrey
Commercial Break and Enter,8800 140A ST ,3,2013,Surrey
Commercial Break and Enter,9000 BEN NEVIS CRES,3,2013,Surrey
Commercial Break and Enter,9100 184TH ST ,3,2013,Surrey
Commercial Break and Enter,7000 193RD ST ,3,2013,Surrey
Commercial Break and Enter,14100 KINDERSLEY DR ,3,2013,Surrey
Commercial Break and Enter,14900 72ND AVE ,3,2013,Surrey
Commercial Break and Enter,13300 KING GEORGE BLVD,3,2013,Surrey
Commercial Break and Enter,6400 139A ST ,3,2013,Surrey
Commercial Break and Enter,5900 125TH ST ,3,2013,Surrey
Commercial Break and Enter,15800 26TH AVE ,3,2013,Surrey
Commercial Break and Enter,8800 134B ST ,3,2013,Surrey
Commercial Break and Enter,7000 126A ST ,3,2013,Surrey
Commercial Break and Enter,2400 161A ST ,3,2013,Surrey
Commercial Break and Enter,10600 146TH ST ,3,2013,Surrey
Commercial Break and Enter,15900 108TH AVE ,3,2013,Surrey
Commercial Break and Enter,1900 150TH ST ,3,2013,Surrey
Commercial Break and Enter,1000 GUILDFORD TOWN CTR,3,2013,Surrey
Commercial Break and Enter,16200 23A AVE ,3,2013,Surrey
Commercial Break and Enter,13200 60TH AVE ,3,2013,Surrey
Commercial Break and Enter,14000 102ND AVE ,3,2013,Surrey
Commercial Break and Enter,9100 ROBERTSON DR ,3,2013,Surrey
Commercial Break and Enter,10200 155A ST ,3,2013,Surrey
Commercial Break and Enter,14400 GLADSTONE DR ,3,2013,Surrey
Commercial Break and Enter,12500 98TH AVE ,3,2013,Surrey
Commercial Break and Enter,2100 154TH ST ,3,2013,Surrey
Commercial Break and Enter,13300 104TH AVE ,3,2013,Surrey
Commercial Break and Enter,11000 131A ST ,3,2013,Surrey
Commercial Break and Enter,15700 101ST AVE ,3,2013,Surrey
Commercial Break and Enter,17600 66A AVE ,3,2013,Surrey
Commercial Break and Enter,16700 80TH AVE ,3,2013,Surrey
Commercial Break and Enter,5700 145A ST ,3,2013,Surrey
Commercial Break and Enter,8300 146TH ST ,3,2013,Surrey
Commercial Break and Enter,13200 65B AVE ,3,2013,Surrey
Commercial Break and Enter,13300 KING GEORGE BLVD,3,2013,Surrey
Commercial Break and Enter,13300 61A AVE ,3,2013,Surrey
Commercial Break and Enter,9000 PRINCE CHARLES BLVD,3,2013,Surrey
Commercial Break and Enter,10800 133A ST ,3,2013,Surrey
Commercial Break and Enter,15100 88TH AVE ,3,2013,Surrey
Commercial Break and Enter,2400 163RD ST ,3,2013,Surrey
Commercial Break and Enter,7500 SINCLAIR CRES ,3,2013,Surrey
Commercial Break and Enter,5500 123RD ST ,3,2013,Surrey
Commercial Break and Enter,12900 100TH AVE ,3,2013,Surrey
Commercial Break and Enter,14000 DOUGLAS RD ,3,2013,Surrey
Commercial Break and Enter,9100 132B ST ,3,2013,Surrey
Commercial Break and Enter,13300 104TH AVE ,3,2013,Surrey
Commercial Break and Enter,10400 140B ST ,3,2013,Surrey
Commercial Break and Enter,12400 99TH AVE ,3,2013,Surrey
Commercial Break and Enter,19400 63A AVE ,3,2013,Surrey
Commercial Break and Enter,9600 131A ST ,3,2013,Surrey
Commercial Break and Enter,12100 96TH AVE ,3,2013,Surrey
Commercial Break and Enter,12800 107TH AVE ,3,2013,Surrey
Commercial Break and Enter,14800 BLACKBIRD CRES ,3,2013,Surrey
